"DL_score","ML_score","Truth"
0.89691275,0,"0"
0.0039491504,0,"0"
1.2431826e-06,0,"0"
0.0023720532,0,"0"
0.6686223,0,"0"
0.0039839745,0,"0"
0.047362,0,"0"
0.28130448,0,"0"
0.0004888021,0,"0"
0.00021174176,0,"0"
0.011398983,0,"0"
0.069007955,0,"0"
0.0028512909,0,"0"
4.5136916e-05,0,"0"
0.018753458,0,"0"
0.05296711,0,"0"
0.00024076519,0,"0"
0.0009853955,0,"0"
0.00031306827,0,"0"
0.003955002,0,"0"
0.0068037156,0,"0"
0.0134874545,0,"0"
0.101574965,0,"0"
0.0042209937,0,"0"
0.32265294,0,"0"
1.494391e-05,0,"0"
0.008261938,0,"0"
9.376646e-05,0,"0"
0.00021526321,0,"0"
0.019336827,0,"0"
0.011986787,0,"0"
0.14159365,0,"0"
0.002936254,0,"0"
0.0013293244,0,"0"
9.509736e-05,0,"0"
0.0005400512,0,"0"
0.032131106,0,"0"
0.0010407462,0,"0"
0.0008793116,0,"0"
0.08137916,0,"0"
0.05968563,0,"0"
0.00956121,0,"0"
0.00039370183,0,"0"
0.0012656635,0,"0"
0.001438282,0,"0"
0.9867688,0,"0"
4.8744743e-05,0,"0"
0.024120312,0,"0"
0.2371162,0,"0"
0.005521645,0,"0"
0.0029254132,0,"0"
0.002042828,0,"0"
0.001405322,0,"0"
0.008677286,0,"0"
0.011385526,0,"0"
0.0013499792,0,"0"
0.5200702,0,"0"
5.3559063e-05,0,"0"
0.0018779812,0,"0"
0.019614233,0,"0"
0.009970293,0,"0"
0.8622757,0,"0"
0.64218813,0,"0"
0.0014223658,0,"0"
0.08979191,0,"0"
0.00023634708,0,"0"
0.0021981543,0,"0"
0.0028751937,0,"0"
0.0014382277,0,"0"
0.0014647369,0,"0"
0.027701573,0,"0"
0.00044972356,0,"0"
0.0001120709,0,"0"
0.0031451373,0,"0"
0.12031359,0,"0"
0.0010630884,0,"0"
0.0013513789,0,"0"
0.069240935,0,"0"
0.026771097,0,"0"
0.004208152,0,"0"
0.0007293257,0,"0"
0.0073637553,0,"0"
1.3076468e-05,0,"0"
0.0014594056,0,"0"
0.00735956,0,"0"
0.0033158087,0,"0"
0.30493668,0,"0"
0.0002309304,0,"0"
6.779937e-06,0,"0"
0.0027321149,0,"0"
0.00019365804,0,"0"
0.0012851262,0,"0"
0.003961843,0,"0"
0.008834184,0,"0"
0.963082,0,"0"
0.00014373986,0,"0"
0.102363974,0,"0"
0.043603554,0,"0"
0.43666932,0,"0"
0.00015100003,0,"0"
0.0299304,0,"0"
0.0013365261,0,"0"
0.0054183383,0,"0"
0.0035063862,0,"0"
0.085854426,0,"0"
0.59504706,0,"0"
0.005643343,0,"0"
0.0009759719,0,"0"
0.0045530763,0,"0"
0.004195525,0,"0"
0.015281027,0,"0"
0.006942813,0,"0"
0.00044494795,0,"0"
0.0015293959,0,"0"
0.00034639408,0,"0"
0.0019581432,0,"0"
0.00016441764,0,"0"
0.001990852,0,"0"
0.1147623,0,"0"
0.0015762977,0,"0"
0.101032235,0,"0"
0.057481915,0,"0"
0.50582707,0,"0"
9.411789e-05,0,"0"
0.048541307,0,"0"
0.99597234,0,"0"
0.06191645,0,"0"
0.04512771,0,"0"
0.0057583624,0,"0"
0.019798748,0,"0"
