"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"Q9D880",5897150,7250042.5,427106,1357046.7,2949605,8769535,2801797.5,2904597.5,985129.8,4178450,4900397.5,1194257.5,3752370,5202425,2105885,1013065,855895.5,1552707.5,582999.8,1195842.5,11676700,1349176.7
"Q9D882",2520116.7,3047190,7604017.5,9247693.3,597105,1534490,1002104.5,1897610,2039540,375145.8,3437537.5,4016832.5,2311017.5,354994.5,981957.2,5966795,448541.5,1903875,966993.8,4358750,895264.2,5801140
"Q9D8B1",271996.67,325120.25,413981.75,1357443.33,230273.25,887841.5,1103127.5,119298.84,716121,180615,174372.98,2340955,277798,123483.1,282347.25,1003454.75,211743.5,550376.75,66094.55,426608.25,194984.75,233443.33
"Q9D8B6",3227186.7,2546792.5,161636,939767.3,1583040,1818100,642959,6729640,640838,1681850,1025628.8,2481777.5,3627612.5,1643510,1663945,492035.2,381763.5,835921.5,298672.2,197136.2,1300962.5,1366853.3
"Q9D8H7",2029343.3333,1281550,452.7715,504185.6667,1259882.5,6037495,810389.25,834837.5,1009414.75,1064010,3088045,487125.5,1141040,1349682.5,1427547.5,566794.5,381695.75,637161,37614.7372,357970.25,7845882.5,1006057.3333
"Q9D8I2",68276.8667,49731.325,585533.25,131899,162967,45524.3096,452.7715,121152.25,176100,1095932.25,22294.9138,74762.55,67258.575,819199.5,250375.25,227705.25,4982260,48899.425,65204.2,1387262.5,93803.191,82382.1667
"Q9D8K8",457025,423199.25,452.7715,50232.8,54546.4,92858.1895,95197.4,187103,452.7715,36784.4933,452.7715,452.7715,70973.05,77435,28728.0704,18248.9436,36547.3013,27331.075,99583.225,452.7715,54811.4196,452.7715
"Q9D8N3",1155609,69699.4119,164626.9328,1446133.3333,143788.2251,452.7715,908776.25,137110.5961,114591.6,512656,452.7715,452.7715,452.7715,272432.8932,1581132.5,1908200,924721.5,446531,408100,802700.25,452.7715,452.7715
"Q9D8V7",1828090,1816547.5,2393060,2806863.3,2485552.5,220396.4,524057.5,956497.2,1200990,3006275,580955.5,66271700,9137120,3497977.5,1214510,6270217.5,6997075,2674995,756070.2,2958602.5,668628,2656420
"Q9D8Y1",10182696.7,17959600,754217.8,3051480,3874895,26717650,3450030,8325702.5,1018141,4058557.5,12283000,796823.8,4759810,6134825,5895682.5,1557177.5,922101.2,1497400,743147.5,1071080,31967375,1885826.7
"Q9D958",17496766.7,11315891.5,8099745,16770300,16941360.2,4262947.5,16390350,31216150,3944358.5,10826615,10537420,379917,245943.8,15492706.4,2003620.5,135716,350568,6686822.5,227322,3164082.5,4435530,10872646.7
"Q9DAM7",294362.3333,452.7715,201582.6694,607226,71087.0893,452.7715,452.7715,452.7715,572435.25,66084.6126,452.7715,229080.25,148651.5,452.7715,282353.75,248953.75,452.7715,74935.65,118212.475,187197.75,452.7715,148908.3333
"Q9DAV9",328725.7,3116987.5,316136.8,424881.7,1649402.5,528878.5,1218480,1723520,694462.8,619547.5,3686552.5,605167.5,296010.2,630004.8,1058047.5,394483.2,319250,600203.2,638392.5,243555.8,665392,292135
