"protein","entry_name","description","family","expression_tissue","gene_symbol"
"O15260","SURF4_HUMAN","Surfeit locus protein 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SURF4"
"O15269","SPTC1_HUMAN","Serine palmitoyltransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SPTLC1"
"O15270","SPTC2_HUMAN","Serine palmitoyltransferase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SPTLC2"
"O15303","GRM6_HUMAN","Metabotropic glutamate receptor 6","GPCR","Adrenal\BAT\Eye\GAT\Kidney\Liver\MAT\Muscle\Thymus","GRM6"
"O15321","TM9S1_HUMAN","Transmembrane 9 superfamily member 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TM9SF1"
"O15354","GPR37_HUMAN","Prosaposin receptor GPR37","GPCR","Brain\Eye\Kidney\Prostate\Skin\Small\Stomach\Testis","GPR37"
"O15374","MOT5_HUMAN","Monocarboxylate transporter 5","Transporter","Eye\Kidney\Pancreas\Urinary","SLC16A4"
"O15393","TMPS2_HUMAN","Transmembrane protease serine 2","Other TMPs","Kidney\Lung\Prostate\Small\Stomach\Thymus\Urinary","TMPRSS2"
"O15394","NCAM2_HUMAN","Neural cell adhesion molecule 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","NCAM2"
"O15399","NMDE4_HUMAN","Glutamate receptor ionotropic, NMDA 2D","Ion-channels","Brain\GAT\Heart\Thymus","GRIN2D"
"O15403","MOT7_HUMAN","Monocarboxylate transporter 7","Transporter","Brain\Eye\GAT\Kidney\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus","SLC16A6"
"O15427","MOT4_HUMAN","Monocarboxylate transporter 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC16A3"
"O15431","COPT1_HUMAN","High affinity copper uptake protein 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC31A1"
"O15432","COPT2_HUMAN","Protein SLC31A2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC31A2"
"O15438","MRP3_HUMAN","ATP-binding cassette sub-family C member 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCC3"
"O15439","MRP4_HUMAN","ATP-binding cassette sub-family C member 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCC4"
"O15440","MRP5_HUMAN","ATP-binding cassette sub-family C member 5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCC5"
"O15455","TLR3_HUMAN","Toll-like receptor 3","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TLR3"
"O15466","SIA8E_HUMAN","Alpha-2,8-sialyltransferase 8E","Other TMPs","Adrenal\Brain\Eye\Muscle\Skin\Tongue","ST8SIA5"
"O15503","INSI1_HUMAN","Insulin-induced gene 1 protein","Other TMPs","Adrenal\BAT\Brain\Eye\Kidney\Liver\MAT\SCAT\Small\Spleen\Stomach\Testis\Thymus\Urinary","INSIG1"
"O15533","TPSN_HUMAN","Tapasin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TAPBP"
"O15551","CLD3_HUMAN","Claudin-3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","CLDN3"
"O15552","FFAR2_HUMAN","Free fatty acid receptor 2","GPCR","Adrenal\GAT\MAT\SCAT\Skin\Small\Spleen\Thymus","FFAR2"
"O15554","KCNN4_HUMAN","Intermediate conductance calcium-activated potassium channel protein 4","Ion-channels","GAT\MAT\Prostate\SCAT\Small\Spleen\Stomach\Thymus\Urinary","KCNN4"
"O43155","FLRT2_HUMAN","Leucine-rich repeat transmembrane protein FLRT2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FLRT2"
"O43157","PLXB1_HUMAN","Plexin-B1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLXNB1"
"O43169","CYB5B_HUMAN","Cytochrome b5 type B","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CYB5B"
"O43173","SIA8C_HUMAN","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3","Other TMPs","Adrenal\Brain\Eye\Heart\Testis","ST8SIA3"
"O43184","ADA12_HUMAN","Disintegrin and metalloproteinase domain-containing protein 12","Other TMPs","Adrenal\BAT\GAT\MAT\SCAT\Skin\Thymus","ADAM12"
"O43246","CTR4_HUMAN","Cationic amino acid transporter 4","Transporter","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","SLC7A4"
"O43286","B4GT5_HUMAN","Beta-1,4-galactosyltransferase 5","Other TMPs","Adrenal\Brain\Eye\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue","B4GALT5"
"O43291","SPIT2_HUMAN","Kunitz-type protease inhibitor 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SPINT2"
"O43292","GPAA1_HUMAN","GPI-anchor transamidase component GPAA1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GPAA1"
"O43315","AQP9_HUMAN","Aquaporin-9","Transporter","Eye\GAT\Liver\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus","AQP9"
"O43424","GRID2_HUMAN","Glutamate receptor ionotropic, delta-2","Ion-channels","Brain\Eye\Lung\Stomach","GRID2"
"O43462","MBTP2_HUMAN","Membrane-bound transcription factor site-2 protease","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MBTPS2"
"O43464","HTRA2_HUMAN","Serine protease HTRA2, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","HTRA2"
"O43505","B4GA1_HUMAN","Beta-1,4-glucuronyltransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","B4GAT1"
"O43508","TNF12_HUMAN","Tumor necrosis factor ligand superfamily member 12","Other TMPs","Adrenal\Lung\MAT\Prostate\Spleen\Stomach\Thymus\Urinary","TNFSF12"
"O43511","S26A4_HUMAN","Pendrin","Transporter","Adrenal\Eye\Kidney\Lung\Prostate\Urinary","SLC26A4"
"O43520","AT8B1_HUMAN","Phospholipid-transporting ATPase IC","Transporter","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP8B1"
"O43556","SGCE_HUMAN","Epsilon-sarcoglycan","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SGCE"
"O43557","TNF14_HUMAN","Tumor necrosis factor ligand superfamily member 14","Other TMPs","GAT\Lung\MAT\SCAT\Spleen\Thymus","TNFSF14"
"O43561","LAT_HUMAN","Linker for activation of T-cells family member 1","Other TMPs","BAT\GAT\Heart\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus","LAT"
"O43567","RNF13_HUMAN","E3 ubiquitin-protein ligase RNF13","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RNF13"
"O43581","SYT7_HUMAN","Synaptotagmin-7","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SYT7"
"O43603","GALR2_HUMAN","Galanin receptor type 2","GPCR","MAT\Small\Thymus","GALR2"
"O43674","NDUB5_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 5, mitochondrial","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFB5"
"O43676","NDUB3_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFB3"
"O43677","NDUC1_HUMAN","NADH dehydrogenase 1 subunit C1, mitochondrial","Transporter","BAT\Eye\Muscle\Tongue","NDUFC1"
"O43688","PLPP2_HUMAN","Phospholipid phosphatase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","PLPP2"
"O43731","ERD23_HUMAN","ER lumen protein-retaining receptor 3","Transporter","Adrenal\Eye\GAT\Heart\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Thymus\Urinary","KDELR3"
"O43736","ITM2A_HUMAN","Integral membrane protein 2A","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITM2A"
"O43752","STX6_HUMAN","Syntaxin-6","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","STX6"
"O43759","SNG1_HUMAN","Synaptogyrin-1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SYNGR1"
"O43760","SNG2_HUMAN","Synaptogyrin-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SYNGR2"
"O43761","SNG3_HUMAN","Synaptogyrin-3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SYNGR3"
"O43772","MCAT_HUMAN","Mitochondrial carnitine/acylcarnitine carrier protein","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A20"
"O43808","PM34_HUMAN","Peroxisomal membrane protein PMP34","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A17"
"O43819","SCO2_HUMAN","Protein SCO2 homolog, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SCO2"
"O43825","B3GT2_HUMAN","Beta-1,3-galactosyltransferase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\MAT\Prostate\SCAT\Skin\Small\Spleen\Thymus\Tongue\Urinary","B3GALT2"
"O43914","TYOBP_HUMAN","TYRO protein tyrosine kinase-binding protein","Other TMPs","Adrenal\GAT\Lung\MAT\SCAT\Spleen\Thymus","TYROBP"
"O43916","CHST1_HUMAN","Carbohydrate sulfotransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","CHST1"
"O43934","MFS11_HUMAN","UNC93-like protein MFSD11","Other TMPs","Adrenal\BAT\Eye\GAT\MAT\SCAT\Skin\Spleen","MFSD11"
"O60235","TM11D_HUMAN","Transmembrane protease serine 11D","Other TMPs","Eye\Spleen\Thymus\Tongue","TMPRSS11D"
"O60238","BNI3L_HUMAN","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","BNIP3L"
"O60241","AGRB2_HUMAN","Adhesion G protein-coupled receptor B2","GPCR","Adrenal\Brain\Eye\SCAT\Spleen","ADGRB2"
"O60242","AGRB3_HUMAN","Adhesion G protein-coupled receptor B3","GPCR","Adrenal\Brain\Eye\Prostate\Spleen","ADGRB3"
"O60243","H6ST1_HUMAN","Heparan-sulfate 6-O-sulfotransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","HS6ST1"
"O60266","ADCY3_HUMAN","Adenylate cyclase type 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ADCY3"
"O60312","AT10A_HUMAN","Phospholipid-transporting ATPase VA","Transporter","Adrenal\GAT\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP10A"
"O60313","OPA1_HUMAN","Dynamin-like GTPase OPA1, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","OPA1"
"O60320","EREP2_HUMAN","Protein ENTREP2","Other TMPs","Brain\Eye\Prostate","ENTREP2"
"O60337","MARH6_HUMAN","E3 ubiquitin-protein ligase MARCHF6","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MARCHF6"
"O60353","FZD6_HUMAN","Frizzled-6","GPCR","Adrenal\BAT\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FZD6"
"O60359","CCG3_HUMAN","Voltage-dependent calcium channel gamma-3 subunit","Ion-channels","Brain\Eye\Spleen","CACNG3"
"O60423","AT8B3_HUMAN","Phospholipid-transporting ATPase IK","Transporter","Lung\Prostate\Small\Stomach\Testis","ATP8B3"
"O60427","FADS1_HUMAN","Acyl-CoA-desaturase fatty acid desaturase desaturase","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FADS1"
"O60443","GSDME_HUMAN","Gasdermin-E","Other TMPs","Brain\Eye\GAT\Kidney\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GSDME"
"O60449","LY75_HUMAN","Lymphocyte antigen 75","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LY75"
"O60462","NRP2_HUMAN","Neuropilin-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NRP2"
"O60469","DSCAM_HUMAN","Cell adhesion molecule DSCAM","Other TMPs","Brain\Eye\Liver\Lung\Pancreas\Prostate\Skin\Small\Spleen\Thymus","DSCAM"
"O60476","MA1A2_HUMAN","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MAN1A2"
"O60486","PLXC1_HUMAN","Plexin-C1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLXNC1"
"O60488","ACSL4_HUMAN","Long-chain-fatty-acid--CoA ligase 4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ACSL4"
"O60500","NPHN_HUMAN","Nephrin","Other TMPs","Heart\Kidney\Spleen\Urinary","NPHS1"
"O60503","ADCY9_HUMAN","Adenylate cyclase type 9","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ADCY9"
"O60507","TPST1_HUMAN","Protein-tyrosine sulfotransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TPST1"
"O60512","B4GT3_HUMAN","Beta-1,4-galactosyltransferase 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","B4GALT3"
"O60513","B4GT4_HUMAN","Beta-1,4-galactosyltransferase 4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","B4GALT4"
"O60636","TSN2_HUMAN","Tetraspanin-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TSPAN2"
"O60637","TSN3_HUMAN","Tetraspanin-3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TSPAN3"
"O60669","MOT2_HUMAN","Monocarboxylate transporter 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC16A7"
"O60704","TPST2_HUMAN","Protein-tyrosine sulfotransferase 2","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TPST2"
"O60706","ABCC9_HUMAN","ATP-binding cassette sub-family C member 9","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCC9"
"O60721","NCKX1_HUMAN","Sodium/potassium/calcium exchanger 1/K/Ca-exchange protein 1","Transporter","BAT\Eye\Liver\Small","SLC24A1"
"O60733","PLPL9_HUMAN","85/88 kDa calcium-independent phospholipase A2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLA2G6"
"O60741","HCN1_HUMAN","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1","Ion-channels","Brain\Eye\GAT\MAT\SCAT\Spleen\Urinary","HCN1"
"O60779","S19A2_HUMAN","Thiamine transporter 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC19A2"
"O60830","TI17B_HUMAN","Mitochondrial import inner membrane translocase subunit Tim17-B","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TIMM17B"
"O60831","PRAF2_HUMAN","PRA1 family protein 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PRAF2"
"O60858","TRI13_HUMAN","E3 ubiquitin-protein ligase TRIM13","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TRIM13"
"O60883","G37L1_HUMAN","G-protein coupled receptor 37-like 1","GPCR","Adrenal\BAT\Brain\Eye\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Urinary","GPR37L1"
"O60894","RAMP1_HUMAN","Receptor activity-modifying protein 1","Transporter","Brain\Eye\GAT\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","RAMP1"
"O60895","RAMP2_HUMAN","Receptor activity-modifying protein 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RAMP2"
"O60906","NSMA_HUMAN","Sphingomyelin phosphodiesterase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SMPD2"
"O60909","B4GT2_HUMAN","Beta-1,4-galactosyltransferase 2","Other TMPs","Brain\Eye\Testis","B4GALT2"
"O60928","KCJ13_HUMAN","Inward rectifier potassium channel 13 channel Kir7.1","Ion-channels","Adrenal\Brain\Eye\GAT\Kidney\Lung\SCAT\Skin\Small\Stomach\Tongue\Urinary","KCNJ13"
"O60939","SCN2B_HUMAN","Sodium channel regulatory subunit beta-2","Ion-channels","Adrenal\BAT\Brain\Eye\MAT\Muscle\Prostate\Skin\Small\Spleen\Stomach","SCN2B"
"O75027","ABCB7_HUMAN","Iron-sulfur clusters transporter ABCB7, mitochondrial","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCB7"
"O75051","PLXA2_HUMAN","Plexin-A2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLXNA2"
"O75054","IGSF3_HUMAN","Immunoglobulin superfamily member 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IGSF3"
"O75056","SDC3_HUMAN","Syndecan-3","Other TMPs","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\Skin\Spleen\Stomach\Thymus\Tongue\Urinary","SDC3"
"O75063","XYLK_HUMAN","Glycosaminoglycan xylosylkinase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FAM20B"
"O75069","TMCC2_HUMAN","Transmembrane and coiled-coil domains protein 2","Other TMPs","Adrenal\Brain\Eye\GAT\Heart\Liver\Lung\MAT\Muscle\SCAT\Skin\Spleen\Stomach\Thymus","TMCC2"
