"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9BXT2","CCG6_HUMAN","Voltage-dependent calcium channel gamma-6 subunit","Ion-channels","BAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Tongue","CACNG6"
"Q9BY08","EBPL_HUMAN","Emopamil-binding protein-like","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","EBPL"
"Q9BY21","GPR87_HUMAN","G-protein coupled receptor 87","GPCR","Skin\Thymus\Urinary","GPR87"
"Q9BY50","SC11C_HUMAN","Signal peptidase complex catalytic subunit SEC11C","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SEC11C"
"Q9BY67","CADM1_HUMAN","Cell adhesion molecule 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CADM1"
"Q9BY71","LRRC3_HUMAN","Leucine-rich repeat-containing protein 3","Other TMPs","Adrenal\Brain\Liver","LRRC3"
"Q9BY79","MFRP_HUMAN","Membrane frizzled-related protein","Other TMPs","Brain\Eye\GAT","MFRP"
"Q9BYC5","FUT8_HUMAN","Alpha--fucosyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FUT8"
"Q9BYE9","CDHR2_HUMAN","Cadherin-related family member 2","Other TMPs","GAT\Kidney\MAT\Pancreas\Skin\Small\Stomach\Thymus","CDHR2"
"Q9BYF1","ACE2_HUMAN","Angiotensin-converting enzyme 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ACE2"
