"protein","entry_name","description","family","gene_symbol","expression_tissue"
"P0DP42","T225B_HUMAN","Transmembrane protein 225B","Other TMP","TMEM225B",""
"Q8NBD8","T229B_HUMAN","Transmembrane protein 229B","Other TMP","TMEM229B","BRN/EYE/MAT/SCAT/SKN/SIT/SPL/THM"
"Q96A57","TM230_HUMAN","Transmembrane protein 230","Other TMP","TMEM230","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9H6L2","TM231_HUMAN","Transmembrane protein 231","Other TMP","TMEM231","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8WY98","TM234_HUMAN","Transmembrane protein 234","Other TMP","TMEM234","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q5W0B7","TM236_HUMAN","Transmembrane protein 236","Other TMP","TMEM236","MAT/SIT/THM"
"Q96Q45","TM237_HUMAN","Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein)","Other TMP","TMEM237","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PRS/SCAT/SIT/SPL/STM/TES/THM/TON/UB"
"A6NJY4","T238L_HUMAN","Transmembrane protein 238-like (FOXA1-regulated conserved small protein) (FORCP)","Other TMP","TMEM238L",""
"Q8WW34","TM239_HUMAN","Transmembrane protein 239","Other TMP","TMEM239","LUN/SPL/TES"
"Q5SV17","TM240_HUMAN","Transmembrane protein 240","Other TMP","TMEM240","BRN/EYE"
"Q9NWH2","TM242_HUMAN","Transmembrane protein 242","Other TMP","TMEM242","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/STM/THM/TON/UB"
"Q9BU79","TM243_HUMAN","Transmembrane protein 243 (MDR1- and mitochondrial taxol resistance-associated protein) (MM-TRAG)","Other TMP","TMEM243",""
"Q9H330","TM245_HUMAN","Transmembrane protein 245 (Protein CG-2)","Other TMP","TMEM245","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"A6NEH6","TM247_HUMAN","Transmembrane protein 247","Other TMP","TMEM247","TES"
"Q9NWD8","TM248_HUMAN","Transmembrane protein 248","Other TMP","TMEM248","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q86YD3","TMM25_HUMAN","Transmembrane protein 25","Other TMP","TMEM25","BRN/EYE"
"Q8N6L7","TM252_HUMAN","Transmembrane protein 252","Other TMP","TMEM252","KID/SIT"
"Q8TBM7","TM254_HUMAN","Transmembrane protein 254","Other TMP","TMEM254",""
"Q5JRV8","T255A_HUMAN","Transmembrane protein 255A (Protein FAM70A)","Other TMP","TMEM255A","AD/BRN/EYE/MAT/SPL/TES"
"Q8WV15","T255B_HUMAN","Transmembrane protein 255B (Protein FAM70B)","Other TMP","TMEM255B",""
"Q8N2U0","TM256_HUMAN","Transmembrane protein 256","Other TMP","TMEM256","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P61165","TM258_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258 (Oligosaccharyl transferase subunit TMEM258) (Transmembrane protein 258)","Other TMP","TMEM258","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q4ZIN3","MBRL_HUMAN","Membralin (Transmembrane protein 259)","Other TMP","TMEM259","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NX78","TM260_HUMAN","Protein O-mannosyl-transferase TMEM260 (EC 2.4.1.109) (Transmembrane protein 260)","Other TMP","TMEM260","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8WUH6","TM263_HUMAN","Transmembrane protein 263","Other TMP","TMEM263","AD/EYE/GAT/LUN/MAT/PCR/PRS/SKN/SIT/STM/TES/THM/UB"
"Q2M3C6","TM266_HUMAN","Transmembrane protein 266 (hTMEM266) (HV1-related protein 1) (HsHVRP1)","Other TMP","TMEM266","BRN/EYE"
"Q0VDI3","TM267_HUMAN","Transmembrane protein 267","Other TMP","TMEM267","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5VZI3","TM268_HUMAN","Transmembrane protein 268","Other TMP","TMEM268","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6UE05","TM270_HUMAN","Transmembrane protein 270 (Williams-Beuren syndrome chromosomal region 28 protein)","Other TMP","TMEM270","TES"
"A0A0U1RQS6","TM275_HUMAN","Transmembrane protein 275","Other TMP","TMEM275",""
"Q5JXX7","TMM31_HUMAN","Transmembrane protein 31","Other TMP","TMEM31",""
"P57088","TMM33_HUMAN","Transmembrane protein 33 (Protein DB83) (SHINC-3)","Other TMP","TMEM33","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q53FP2","NACHO_HUMAN","Novel acetylcholine receptor chaperone","Other TMP","TMEM35A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8NCS4","TM35B_HUMAN","Transmembrane protein 35B (ZMYM6 neighbor protein)","Other TMP","TMEM35B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9NV64","TM39A_HUMAN","Transmembrane protein 39A","Other TMP","TMEM39A","BAT/GAT/LUN/MAT/PCR/SCAT/SKN/SIT/SPL/STM/THM"
"Q9GZU3","TM39B_HUMAN","Transmembrane protein 39B","Other TMP","TMEM39B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q8WWA1","TMM40_HUMAN","Transmembrane protein 40","Other TMP","TMEM40","EYE/LUN/SKN/SPL/STM/UB"
"Q96HV5","TM41A_HUMAN","Transmembrane protein 41A","Other TMP","TMEM41A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q69YG0","TMM42_HUMAN","Transmembrane protein 42","Other TMP","TMEM42","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SIT/SPL/STM/TES/THM/UB"
"Q9BTV4","TMM43_HUMAN","Transmembrane protein 43 (Protein LUMA)","Other TMP","TMEM43","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q2T9K0","TMM44_HUMAN","Transmembrane protein 44","Other TMP","TMEM44",""
"Q9NWC5","TM45A_HUMAN","Transmembrane protein 45A (DNA polymerase-transactivated protein 4) (Dermal papilla-derived protein 7)","Other TMP","TMEM45A","LUN/PRS/SCAT/SKN/SIT/STM/TES/THM/TON/UB"
"Q96B21","TM45B_HUMAN","Transmembrane protein 45B","Other TMP","TMEM45B","AD/BAT/GAT/KID/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9BQJ4","TMM47_HUMAN","Transmembrane protein 47 (Brain cell membrane protein 1) (Transmembrane 4 superfamily member 10)","Other TMP","TMEM47","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O95807","TM50A_HUMAN","Transmembrane protein 50A (Small membrane protein 1)","Other TMP","TMEM50A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P56557","TM50B_HUMAN","Transmembrane protein 50B (HCV p7-trans-regulated protein 3)","Other TMP","TMEM50B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NW97","TMM51_HUMAN","Transmembrane protein 51","Other TMP","TMEM51","AD/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q4KMG9","TM52B_HUMAN","Transmembrane protein 52B","Other TMP","TMEM52B","KID"
"Q6P2H8","TMM53_HUMAN","Transmembrane protein 53 (Nuclear envelope transmembrane protein 4)","Other TMP","TMEM53","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q969K7","TMM54_HUMAN","Transmembrane protein 54 (Beta-casein-like protein) (Protein CAC-1)","Other TMP","TMEM54","SKN/SIT/STM"
"Q9BXS4","TMM59_HUMAN","Transmembrane protein 59 (Liver membrane-bound protein)","Other TMP","TMEM59","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9UK28","TM59L_HUMAN","Transmembrane protein 59-like (Brain-specific membrane-anchored protein)","Other TMP","TMEM59L","AD/BRN/EYE/TES"
"Q9H2L4","TMM60_HUMAN","Transmembrane protein 60","Other TMP","TMEM60",""
"Q8N0U2","TMM61_HUMAN","Transmembrane protein 61","Other TMP","TMEM61",""
"Q0P6H9","TMM62_HUMAN","Transmembrane protein 62","Other TMP","TMEM62","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6YI46","TMM64_HUMAN","Transmembrane protein 64","Other TMP","TMEM64","AD/EYE/HRT/KID/MAT/SKM/PCR/PRS/STM/TES/THM/UB"
"Q6PI78","TMM65_HUMAN","Transmembrane protein 65","Other TMP","TMEM65","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5HYA8","MKS3_HUMAN","Meckelin (Meckel syndrome type 3 protein) (Transmembrane protein 67)","Other TMP","TMEM67","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96MH6","DIESL_HUMAN","DGAT1/2-independent enzyme synthesizing storage lipids (DIESL) (EC 2.3.1.-) (2-acylglycerol/1,2-diacylglycerol O-acyltransferase) (Monoacylglycerol/Diacylglycerol O-acyltransferase) (MGAT/DGAT) (EC 2.3.1.20, EC 2.3.1.22) (Transmembrane protein 68)","Other TMP","TMEM68","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5SWH9","TMM69_HUMAN","Transmembrane protein 69","Other TMP","TMEM69","PCR"
"Q9BUB7","TMM70_HUMAN","Transmembrane protein 70, mitochondrial","Other TMP","TMEM70","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6P5X7","TMM71_HUMAN","Transmembrane protein 71","Other TMP","TMEM71","AD/SCAT/SPL/THM"
"A0PK05","TMM72_HUMAN","Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)","Other TMP","TMEM72","BRN/EYE/KID/SKM"
"Q96NL1","TMM74_HUMAN","Transmembrane protein 74","Other TMP","TMEM74","AD/BRN/EYE/LIV/SPL/STM"
"Q9BSE2","TMM79_HUMAN","Transmembrane protein 79 (Mattrin)","Other TMP","TMEM79","AD/BAT/EYE/KID/LUN/MAT/PCR/PRS/SKN/SIT/STM/TES/THM/TON/UB"
"Q96HE8","TMM80_HUMAN","Transmembrane protein 80","Other TMP","TMEM80",""
"Q6P7N7","TMM81_HUMAN","Transmembrane protein 81","Other TMP","TMEM81",""
"A0PJX8","TMM82_HUMAN","Transmembrane protein 82","Other TMP","TMEM82","AD/KID/LIV/LUN/SIT/SPL/STM/TES/THM"
"Q8N2M4","TM86A_HUMAN","Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)","Other TMP","TMEM86A","AD/BAT/BRN/EYE/KID/LUN/MAT/SCAT/SKN/SIT/SPL/STM/TES/THM"
"Q8N661","TM86B_HUMAN","Lysoplasmalogenase TMEM86B (EC 3.3.2.2) (Transmembrane protein 86B)","Other TMP","TMEM86B","KID/LIV/SIT/SPL/TES"
"Q8NBN3","TM87A_HUMAN","Transmembrane protein 87A (Elkin1)","Other TMP","TMEM87A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96K49","TM87B_HUMAN","Transmembrane protein 87B","Other TMP","TMEM87B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6PEY1","TMM88_HUMAN","Transmembrane protein 88","Other TMP","TMEM88","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"A6NDV4","TMM8B_HUMAN","Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)","Other TMP","TMEM8B","BRN/EYE"
"Q6ZNR0","TMM91_HUMAN","Transmembrane protein 91 (Dispanin subfamily C member 3) (DSPC3)","Other TMP","TMEM91","BRN"
"Q6UXU6","TMM92_HUMAN","Transmembrane protein 92","Other TMP","TMEM92",""
"Q12767","TMM94_HUMAN","Transmembrane protein 94 (Endoplasmic reticulum magnesium ATPase)","Other TMP","TMEM94","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q3KNT9","TMM95_HUMAN","Sperm-egg fusion protein TMEM95 (Transmembrane protein 95)","Other TMP","TMEM95","TES"
"Q5BJF2","SGMR2_HUMAN","Sigma intracellular receptor 2 (S2R) (Sigma-2 receptor) (Sigma2 receptor) (Meningioma-associated protein 30) (MAC30) (Transmembrane protein 97)","Other TMP","TMEM97","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q9Y2Y6","TMM98_HUMAN","Transmembrane protein 98 (Protein TADA1)","Other TMP","TMEM98","AD/EYE/GAT/KID/LIV/LUN/MAT/PCR/SCAT/SIT/SPL/STM/THM/UB"
"Q9NQ34","TMM9B_HUMAN","Transmembrane protein 9B","Other TMP","TMEM9B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8NEW7","TMIE_HUMAN","Transmembrane inner ear expressed protein","Other TMP","TMIE","BRN"
"Q6UXZ0","TMIG1_HUMAN","Transmembrane and immunoglobulin domain-containing protein 1","Other TMP","TMIGD1","KID/MAT/SIT"
"P42167","LAP2B_HUMAN","Lamina-associated polypeptide 2, isoforms beta/gamma (Thymopoietin, isoforms beta/gamma) (TP beta/gamma) (Thymopoietin-related peptide isoforms beta/gamma) (TPRP isoforms beta/gamma) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]","Other TMP","TMPO","BAT/LUN/MAT/SKN/SPL/STM/TES/THM/UB"
"Q6ZT21","TMPPE_HUMAN","Transmembrane protein with metallophosphoesterase domain (EC 3.1.-.-)","Other TMP","TMPPE",""
"Q6ZMR5","TM11A_HUMAN","Transmembrane protease serine 11A (EC 3.4.21.-) (Airway trypsin-like protease 1) (Epidermal type-II transmembrane serine protease) (Esophageal cancer-susceptibility gene 1 protein)","Other TMP","TMPRSS11A",""
"Q86T26","TM11B_HUMAN","Transmembrane protease serine 11B (EC 3.4.21.-) (Airway trypsin-like protease 5)","Other TMP","TMPRSS11B","EYE/GAT/TES/THM/TON"
"O60235","TM11D_HUMAN","Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]","Other TMP","TMPRSS11D","EYE/SPL/THM/TON"
"Q9UL52","TM11E_HUMAN","Transmembrane protease serine 11E (EC 3.4.21.-) (Serine protease DESC1) (Transmembrane protease serine 11E2) [Cleaved into: Transmembrane protease serine 11E non-catalytic chain; Transmembrane protease serine 11E catalytic chain]","Other TMP","TMPRSS11E","EYE/SKN/TON"
"Q6ZWK6","TM11F_HUMAN","Transmembrane protease serine 11F (EC 3.4.21.-) (Airway trypsin-like protease 4)","Other TMP","TMPRSS11F",""
"Q86WS5","TMPSC_HUMAN","Transmembrane protease serine 12 (EC 3.4.21.-)","Other TMP","TMPRSS12","GAT/TES/TON"
"Q9BYE2","TMPSD_HUMAN","Transmembrane protease serine 13 (EC 3.4.21.-) (Membrane-type mosaic serine protease) (Mosaic serine protease)","Other TMP","TMPRSS13","PRS/SKN/SPL/STM/THM/TON/UB"
"O15393","TMPS2_HUMAN","Transmembrane protease serine 2 (EC 3.4.21.122) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]","Other TMP","TMPRSS2","KID/LUN/PRS/SIT/STM/THM/UB"
"P57727","TMPS3_HUMAN","Transmembrane protease serine 3 (EC 3.4.21.-) (Serine protease TADG-12) (Tumor-associated differentially-expressed gene 12 protein)","Other TMP","TMPRSS3",""
"Q9NRS4","TMPS4_HUMAN","Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2) [Cleaved into: Transmembrane protease serine 4 catalytic chain]","Other TMP","TMPRSS4","EYE/LUN/MAT/PCR/PRS/SKN/SIT/STM/THM/TON/UB"
"Q9H3S3","TMPS5_HUMAN","Transmembrane protease serine 5 (EC 3.4.21.-) (Spinesin)","Other TMP","TMPRSS5","AD/BAT/BRN/EYE/MAT/PRS/SIT/STM/TES/TON/UB"
"Q8IU80","TMPS6_HUMAN","Transmembrane protease serine 6 (EC 3.4.21.-) (Matriptase-2)","Other TMP","TMPRSS6","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8IUR5","TMTC1_HUMAN","Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 1) (Transmembrane and tetratricopeptide repeat-containing 1)","Other TMP","TMTC1","AD/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/SKN/SIT/SPL/STM/TES/THM/UB"
"Q8N394","TMTC2_HUMAN","Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 2) (Transmembrane and tetratricopeptide repeat-containing 2)","Other TMP","TMTC2","BRN/EYE/LIV/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/TES/THM/UB"
"Q6ZXV5","TMTC3_HUMAN","Protein O-mannosyl-transferase TMTC3 (EC 2.4.1.109) (Protein SMILE) (Transmembrane O-mannosyltransferase targeting cadherins 3) (Transmembrane and tetratricopeptide repeat-containing 3)","Other TMP","TMTC3","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5T4D3","TMTC4_HUMAN","Protein O-mannosyl-transferase TMTC4 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 4) (Transmembrane and tetratricopeptide repeat-containing 4)","Other TMP","TMTC4","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9BVT8","TMUB1_HUMAN","Transmembrane and ubiquitin-like domain-containing protein 1 (Dendritic cell-derived ubiquitin-like protein) (DULP) (Hepatocyte odd protein shuttling protein) (Ubiquitin-like protein SB144) [Cleaved into: iHOPS]","Other TMP","TMUB1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q71RG4","TMUB2_HUMAN","Transmembrane and ubiquitin-like domain-containing protein 2","Other TMP","TMUB2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SIT/SPL/STM/TES/THM/UB"
"Q9Y320","TMX2_HUMAN","Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14)","Other TMP","TMX2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96JJ7","TMX3_HUMAN","Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)","Other TMP","TMX3","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P01375","TNFA_HUMAN","Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]","Other TMP","TNF",""
"P50591","TNF10_HUMAN","Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253)","Other TMP","TNFSF10","AD/BAT/KID/LIV/LUN/MAT/SCAT/SIT/SPL/THM"
"O14788","TNF11_HUMAN","Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]","Other TMP","TNFSF11","MAT/SCAT/SPL/THM"
"O43508","TNF12_HUMAN","Tumor necrosis factor ligand superfamily member 12 (APO3 ligand) (TNF-related weak inducer of apoptosis) (TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form]","Other TMP","TNFSF12","AD/LUN/MAT/PRS/SPL/STM/THM/UB"
"Q9Y275","TN13B_HUMAN","Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form]","Other TMP","TNFSF13B","AD/GAT/HRT/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/TES/THM/TON/UB"
"O43557","TNF14_HUMAN","Tumor necrosis factor ligand superfamily member 14 (Herpes virus entry mediator ligand) (HVEM-L) (Herpesvirus entry mediator ligand) (CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form]","Other TMP","TNFSF14","GAT/LUN/MAT/SCAT/SPL/THM"
"O95150","TNF15_HUMAN","Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form]","Other TMP","TNFSF15",""
"Q9UNG2","TNF18_HUMAN","Tumor necrosis factor ligand superfamily member 18 (Activation-inducible TNF-related ligand) (AITRL) (Glucocorticoid-induced TNF-related ligand) (hGITRL)","Other TMP","TNFSF18",""
"P23510","TNFL4_HUMAN","Tumor necrosis factor ligand superfamily member 4 (Glycoprotein Gp34) (OX40 ligand) (OX40L) (TAX transcriptionally-activated glycoprotein 1) (CD antigen CD252)","Other TMP","TNFSF4",""
"P32971","TNFL8_HUMAN","Tumor necrosis factor ligand superfamily member 8 (CD30 ligand) (CD30-L) (CD antigen CD153)","Other TMP","TNFSF8",""
"P41273","TNFL9_HUMAN","Tumor necrosis factor ligand superfamily member 9 (4-1BB ligand) (4-1BBL)","Other TMP","TNFSF9",""
"Q9H2S6","TNMD_HUMAN","Tenomodulin (TeM) (hTeM) (Chondromodulin-1-like protein) (ChM1L) (hChM1L) (Chondromodulin-I-like protein) (Myodulin) (Tendin)","Other TMP","TNMD","BAT/GAT/HRT/SKM/SCAT/SKN/SPL/THM"
"O94826","TOM70_HUMAN","Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)","Other TMP","TOMM70","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5JTV8","TOIP1_HUMAN","Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)","Other TMP","TOR1AIP1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8NFQ8","TOIP2_HUMAN","Torsin-1A-interacting protein 2 (Lumenal domain-like LAP1)","Other TMP","TOR1AIP2","AD/LUN/PCR/PRS/SKN/SIT/TES/THM/UB"
"Q9NXH8","TOR4A_HUMAN","Torsin-4A (Torsin family 4 member A)","Other TMP","TOR4A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O14683","P5I11_HUMAN","Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)","Other TMP","TP53I11",""
"Q8NBR0","P5I13_HUMAN","Tumor protein p53-inducible protein 13 (Damage-stimulated cytoplasmic protein 1)","Other TMP","TP53I13","PCR"
